Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
106,SONP/SP/468788/2020,Uniwersytet Jana Kochanowskiego w Kielcach,Bieg o Błękitną Wstęgę Silnicy o Puchar Jm Rektora Uniwersytetu Jana Kochanowskiego w Kielcach,100000,2020-05-07,SON I konkurs I,Popularyzacja
107,SONP/SP/461666/2020,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Katecheza bez granic,78889,2020-05-07,SON I konkurs I,Popularyzacja
108,SONP/SP/466192/2020,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,V Ogólnopolski Konkurs Prawa Kanonicznego dla Uczniów Szkół Ponadpodstawowych,44833.4,2020-05-07,SON I konkurs I,Popularyzacja
109,SONP/SP/463450/2020,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,Społeczna odpowiedzialność publicznych instytucji kultury – przykład muzealnictwa,123000,2020-05-07,SON I konkurs I,Popularyzacja
110,SONP/SP/463035/2020,Uniwersytet Kazimierza Wielkiego,XI Bydgoski Festiwal Nauki 2020,224957.29,2020-05-07,SON I konkurs I,Popularyzacja
111,SONP/SP/463037/2020,Uniwersytet Kazimierza Wielkiego,Włączenie środowiska sportowców niesłyszących w edukację akademicką i sport akademicki,154387.3,2020-05-07,SON I konkurs I,Popularyzacja
112,SONP/SP/461819/2020,Uniwersytet Łódzki,Uwolnij Energię!,130000,2020-05-07,SON I konkurs I,Popularyzacja
113,SONP/SP/467222/2020,Uniwersytet Łódzki,Lodzkie Cup,119107.33,2020-05-07,SON I konkurs I,Popularyzacja
114,SONP/SP/467531/2020,Uniwersytet Łódzki,8 Kongres Młodych Matematyków Polskich,100000,2020-05-07,SON I konkurs I,Popularyzacja
115,SONP/SP/461540/2020,Uniwersytet Marii Curie- Skłodowskiej w Lublinie,XVII Lubelski Festiwal Nauki  „Nauka bez granic. Enjoy science!”,591250,2020-05-07,SON I konkurs I,Popularyzacja
116,SONP/SP/466819/2020,Uniwersytet Marii Curie- Skłodowskiej w Lublinie,Ucz się z MaFiI-ą,98065,2020-05-07,SON I konkurs I,Popularyzacja
117,SONP/SP/463282/2020,Uniwersytet Marii Curie- Skłodowskiej w Lublinie,Forum Kultury Studenckiej,350000,2020-05-07,SON I konkurs I,Popularyzacja
118,SONP/SP/461537/2020,Uniwersytet Medyczny w Białymstoku,XVIII Podlaski Festiwal Nauki i Sztuki,159735,2020-05-07,SON I konkurs I,Popularyzacja
119,SONP/SP/462546/2020,Uniwersytet Medyczny w Białymstoku,Ogólnopolska Konferencja Redaktorów Czasopism Akademickich i Portali,34250,2020-05-07,SON I konkurs I,Popularyzacja
