Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
58.,SONP/SP/549828/2022,Instytut Agrofizyki im. Bohdana Dobrzańskiego Polskiej Akademii Nauk,Instytut Agrofizyki PAN w 26. Pikniku Naukowym Polskiego Radia i Centrum Nauki Kopernik,23320,2022-09-26,SON I konkurs III,Popularyzacja
59.,SONP/SP/550811/2022,Instytut Biologii Doświadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk,Biologia bez tajemnic - największe odkrycia z dziedziny Biologii,70890,2022-09-26,SON I konkurs III,Popularyzacja
60.,SONP/SP/549594/2022,Instytut Botaniki im. Władysława Szafera Polskiej Akademii Nauk,Botanicy dla Krakowian,234261,2022-09-26,SON I konkurs III,Popularyzacja
61.,SONP/SN/550943/2022,Instytut Dziedzictwa Europejskiego Andegavenum,Filozofia społeczeństwu,600000,2022-09-26,SON I konkurs III,Popularyzacja
62.,SONP/SP/549993/2022,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,Jak zdrowo żyć? - poradnik Seniora,76599,2022-09-26,SON I konkurs III,Popularyzacja
63.,SONP/SP/551201/2022,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,Krakowska Kawiarenka Neurobiologiczna,37262,2022-09-26,SON I konkurs III,Popularyzacja
64.,SONP/SP/550514/2022,Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk,Fizyka kluczem do zrozumienia świata,169336,2022-09-26,SON I konkurs III,Popularyzacja
65.,SONP/SP/550683/2022,Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk,Namiot Młodego Naukowca,211490,2022-09-26,SON I konkurs III,Popularyzacja
66.,SONP/SP/550868/2022,Instytut Genetyki Człowieka Polskiej Akademii Nauk,"Szczepionki, alergie i nowotwory. Jak genetycy pomagają białym krwinkom",131340,2022-09-26,SON I konkurs III,Popularyzacja
67.,SONP/SP/551071/2022,Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego Polskiej Akademii Nauk,Geografia w sieci - promocja osiągnięć naukowych IGiPZ PAN,78110,2022-09-26,SON I konkurs III,Popularyzacja
68.,SONP/SP/549224/2022,Instytut Gospodarki Surowcami Mineralnymi i Energią Polskiej Akademii Nauk,Sekrety wody,65670,2022-09-26,SON I konkurs III,Popularyzacja
69.,SONP/SP/546518/2022,Instytut Gruźlicy i Chorób Płuc,Poprawa dostępności do zbiorów naukowych Instytutu Gruźlicy i Chorób Płuc.,100000,2022-09-26,SON I konkurs III,Popularyzacja
70.,SONP/SP/546076/2022,Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk,Stacja IITD – popularyzacja nauki z zakresu współczesnej epidemiologii,88110,2022-09-26,SON I konkurs III,Popularyzacja
71.,SONP/SP/547826/2022,Instytut Północny im. Wojciecha Kętrzyńskiego,"Cyfrowe Archiwum Pamięci Warmii i Mazur. Pamiętniki, relacje, wspomnienia",244000,2022-09-26,SON I konkurs III,Popularyzacja
72.,SONP/SP/549140/2022,Instytut Pracy i Spraw Socjalnych,Cykl debat upowszechniających wiedzę z zakresu polityki społecznej – „Między nauką a praktyką”,500000,2022-09-26,SON I konkurs III,Popularyzacja
73.,SONP/SP/549732/2022,Instytut Studiów Kobiecych,Wystawa - Kobiety. MODA POLSKA,50000,2022-09-26,SON I konkurs III,Popularyzacja
74.,SONP/SP/547660/2022,Instytut Systematyki i Ewolucji Zwierząt Polskiej Akademii Nauk,Spadzista - krakowskie cmentarzysko mamutów.,80542,2022-09-26,SON I konkurs III,Popularyzacja
75.,SONP/SP/549853/2022,Katolicki Uniwersytet Lubelski Jana Pawła II,Państwo i obywatele we współczesnym świecie,90700,2022-09-26,SON I konkurs III,Popularyzacja
76.,SONP/SP/550270/2022,Katolicki Uniwersytet Lubelski Jana Pawła II,"100-lecie sportu akademickiego w Lublinie - historia, współczesność, przyszłość",200000,2022-09-26,SON I konkurs III,Popularyzacja
