Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
163.,SONP/SP/549896/2022,Uniwersytet Mikołaja Kopernika w Toruniu,XX Toruński Festiwal Nauki i Sztuki,80000,2022-09-26,SON I konkurs III,Popularyzacja
164.,SONP/SP/550352/2022,Uniwersytet Morski w Gdyni,"Rejs do nauki,",100000,2022-09-26,SON I konkurs III,Popularyzacja
165.,SONP/SP/550677/2022,Uniwersytet Opolski,20 Opolski Festiwal Nauki,240185,2022-09-26,SON I konkurs III,Popularyzacja
166.,SONP/SP/550473/2022,Uniwersytet Papieski Jana Pawła II w Krakowie,Forum Standardów Etycznych Mediów w Polsce,158356,2022-09-26,SON I konkurs III,Popularyzacja
167.,SONP/SP/549821/2022,Uniwersytet Przyrodniczy w Lublinie,"Żywność, żywienie i zdrowie – tradycja wsparta nauką",51717,2022-09-26,SON I konkurs III,Popularyzacja
168.,SONP/SP/549698/2022,Uniwersytet Przyrodniczy w Poznaniu,"""Laur Przyrodnika"" - bieg o puchar JM Rektora UPP",133100,2022-09-26,SON I konkurs III,Popularyzacja
169.,SONP/SP/547116/2022,Uniwersytet Rzeszowski,"Polscy bohaterowie. Innowatorzy, modernizatorzy, wynalazcy i ich wkład w rozwój społeczeństwa",99000,2022-09-26,SON I konkurs III,Popularyzacja
170.,SONP/SP/547533/2022,Uniwersytet Rzeszowski,Międzypokoleniowy wymiar sprawności fizycznej po pandemii COVID-19,413030,2022-09-26,SON I konkurs III,Popularyzacja
171.,SONP/SP/546553/2022,Uniwersytet Szczeciński,Nauka jest w naszej naturze.,220000,2022-09-26,SON I konkurs III,Popularyzacja
172.,SONP/SP/548831/2022,Uniwersytet Szczeciński,"Społeczna Inicjatywa Naukowa Uniwersytetu Szczecińskiego ""SINUS""",320000,2022-09-26,SON I konkurs III,Popularyzacja
173.,SONP/SP/550714/2022,Uniwersytet Śląski w Katowicach,Z Nauką za pan brat,377701.5,2022-09-26,SON I konkurs III,Popularyzacja
174.,SONP/SP/546367/2022,Uniwersytet Technologiczno- Humanistyczny im. Kazimierza Pułaskiego w Radomiu,Uniwersytet dzieci i młodzieży,251259,2022-09-26,SON I konkurs III,Popularyzacja
175.,SONP/SP/548720/2022,Uniwersytet w Białymstoku,Młodieżowy Uniwersytet Przyrodniczy: nowe technologie w ochronie bioróżnorodności,320870,2022-09-26,SON I konkurs III,Popularyzacja
176.,SONP/SP/549046/2022,Uniwersytet w Białymstoku,"""Co ja tu robię?""",53570,2022-09-26,SON I konkurs III,Popularyzacja
177.,SONP/SP/548340/2022,Uniwersytet WarmińskoMazurski w Olsztynie,20. Olsztyńskie Dni Nauki i Sztuki,190000,2022-09-26,SON I konkurs III,Popularyzacja
178.,SONP/SP/549784/2022,Uniwersytet Warszawski,",,Festiwal Sztuki Nasze Mazowsze"". Promocja społeczna wiedzy o artystycznej różnorodności Mazowsza",131454.4,2022-09-26,SON I konkurs III,Popularyzacja
179.,SONP/SP/549851/2022,Uniwersytet Warszawski,26. Festiwal Nauki w Warszawie,97020,2022-09-26,SON I konkurs III,Popularyzacja
180.,SONP/SP/550025/2022,Uniwersytet Warszawski,Ekspertyza migracyjna w czasie kryzysu. Popularyzacja wiedzy.,68414.4,2022-09-26,SON I konkurs III,Popularyzacja
181.,SONP/SP/549859/2022,Uniwersytet Wrocławski,Migracje we współczesnym kinie niemieckim,31240,2022-09-26,SON I konkurs III,Popularyzacja
182.,SONP/SP/548059/2022,Warszawski Uniwersytet Medyczny,Wspieranie rozwoju zawodowego w pielęgniarstwie przez popularyzację dowodów naukowych (PROGRES_NURS),229566,2022-09-26,SON I konkurs III,Popularyzacja
183.,SONP/SP/548079/2022,Warszawski Uniwersytet Medyczny,Akademia Nauk o Zdrowiu#2 WUM,107954,2022-09-26,SON I konkurs III,Popularyzacja
184.,SONP/SP/549371/2022,Warszawski Uniwersytet Medyczny,CUKRZYCA OD KUCHNI. OSIĄGNIĘCIA NAUKOWE MEDYCYNY KULINARNEJ JAKO ELEMENT TERAPII CUKRZYCY,87237.7,2022-09-26,SON I konkurs III,Popularyzacja
185.,SONP/SP/549710/2022,Warszawski Uniwersytet Medyczny,ONKOAKADEMIA kluczem do zdrowia,110784.3,2022-09-26,SON I konkurs III,Popularyzacja
186.,SONP/SN/550584/2022,Wyższa Szkoła Gospodarki w Bydgoszczy,"Popularyzacja nauki poprzez interpretację dziedzictwa - zrozumieć, docenić, ochronić.",29200,2022-09-26,SON I konkurs III,Popularyzacja
187.,SONP/SN/550915/2022,Wyższa Szkoła Humanitas,Login: Wiedza!,39700,2022-09-26,SON I konkurs III,Popularyzacja
188.,SONP/SN/549844/2022,Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie,Przybij piątkę nauce – nauka fundamentem rozwoju,120000,2022-09-26,SON I konkurs III,Popularyzacja
189.,SONP/SN/549129/2022,Wyższa Szkoła Kadr Menedżerskich,"Nauka podstawą działania w sprawiedliwej transformacji w regionach powęglowych ,",190000,2022-09-26,SON I konkurs III,Popularyzacja
190.,SONP/SN/550447/2022,Wyższa Szkoła Kadr Menedżerskich,Internet bez tajemnic- Cyfrowy świat Seniora,93600,2022-09-26,SON I konkurs III,Popularyzacja
191.,SONP/SN/550592/2022,Wyższa Szkoła Prawa,Okiem kamery na przestępcze szmery,103312,2022-09-26,SON I konkurs III,Popularyzacja
