Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
1,BIBL/SN/0064/2024/02,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Digitalizacja i udostępnienie XV wiecznych Biblii ze zbiorów Biblioteki Uniwersyteckiej KUL,70246,2024-12-30,SON II,Popularyzacja
2,BIBL/SN/0065/2024/02,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Zagraniczne schematyzmy i rubrycele zakonne w zbiorach Biblioteki Uniwersyteckiej KUL- digitalizacja,194700,2024-12-30,SON II,Popularyzacja
3,BIBL/SN/0066/2024/02,Uniwersytet Ignatianum w Krakowie,Elektroniczna bibliografia jezuicka,171600,2024-12-30,SON II,Popularyzacja
4,BIBL/SN/0067/2024/02,Uniwersytet Ignatianum w Krakowie,Opracowanie zagranicznych książek humanistycznych z XIX i XX w.,132000,2024-12-30,SON II,Popularyzacja
5,BIBL/SN/0071/2024/02,Poznańskie Towarzystwo Przyjaciół Nauk,Digitalizacja księgozbiorów ks. A. Prusinowskiego i S. Mielżyńskiego z kolekcji Biblioteki PTPN,238750,2024-12-30,SON II,Popularyzacja
6,BIBL/SN/0079/2024/02,Poznańskie Towarzystwo Przyjaciół Nauk,Digitalizacja historycznego księgozbioru Seweryna Mielżyńskiego z kolekcji Biblioteki PTPN,239460,2024-12-30,SON II,Popularyzacja
