Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
74,POPUL/SP/0157/2024/02,Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu,Promocja i upowszechnianie metod EDUball i mini-Eduball w edukacji i terapii osób w różnym wieku,172610,2024-11-04,SON II,Popularyzacja
75,POPUL/SP/0162/2024/02,Uniwersytet Morski w Gdyni,Morski Festiwal Nauki,290450.8,2024-11-04,SON II,Popularyzacja
76,POPUL/SP/0166/2024/02,Akademia im. Jakuba z Paradyża,"Pogranicze polsko-niemieckie 1945-2025. Przemiany historyczne, społeczne i kulturowe",84920,2024-11-04,SON II,Popularyzacja
77,POPUL/SP/0168/2024/02,Uniwersytet Mikołaja Kopernika w Toruniu,XXIII Toruński Festiwal Nauki i Sztuki,132000,2024-11-04,SON II,Popularyzacja
78,POPUL/SP/0176/2024/02,Politechnika Koszalińska,XXIV Zachodniopomorski Festiwal Nauki w Politechnice Koszalińskiej,109175,2024-11-04,SON II,Popularyzacja
79,POPUL/SP/0207/2024/02,Uniwersytet Przyrodniczy w Poznaniu,Popularyzacja nauki w ramach Uniwersytetu Młodych Przyrodników - 2.0,925622,2024-11-04,SON II,Popularyzacja
80,POPUL/SP/0209/2024/02,Uniwersytet im. Adama Mickiewicza w Poznaniu,XXVIII Poznański Festiwal Nauki i Sztuki,275990,2024-11-04,SON II,Popularyzacja
81,POPUL/SP/0211/2024/02,Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego,Zainspiruj się Nauką,198000,2024-11-04,SON II,Popularyzacja
82,POPUL/SP/0212/2024/02,Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego,#młodzi#zdrowi#bezpieczni,95635,2024-11-04,SON II,Popularyzacja
83,POPUL/SP/0214/2024/02,Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,Gorzowski Festiwal Nauki z AWF,44253,2024-11-04,SON II,Popularyzacja
84,POPUL/SP/0215/2024/02,Uniwersytet Kaliski im. Prezydenta Stanisława Wojciechowskiego,Sekrety Prawa,104214,2024-11-04,SON II,Popularyzacja
85,POPUL/SP/0216/2024/02,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,POWERcast,48900,2024-11-04,SON II,Popularyzacja
86,POPUL/SP/0271/2024/02,Instytut Archeologii i Etnologii Polskiej Akademii Nauk,Antropologia przy mikrofonie. Podcasty antropologiczne,88770,2024-11-04,SON II,Popularyzacja
87,POPUL/SP/0272/2024/02,Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk,"""Namiot Młodego Naukowca"" edycja 2",242792,2024-11-04,SON II,Popularyzacja
88,POPUL/SP/0275/2024/02,Instytut Badań Literackich Polskiej Akademii Nauk,Humanistyka architektoniczna jako propozycja w ramach humanistyki obywatelskiej,160325,2024-11-04,SON II,Popularyzacja
89,POPUL/SP/0292/2024/02,Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk,Internetowa baza egipskich rytuałów świątynnych rite.iksiopan.pl - kontynuacja,203900,2024-11-04,SON II,Popularyzacja
90,POPUL/SP/0293/2024/02,Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk,Zaginiony świat Orientu na kartach pocztowych - kontynuacja,206862,2024-11-04,SON II,Popularyzacja
91,POPUL/SP/0294/2024/02,Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk,Stacja IITD 2.0 - autostopem przez układ odpornościowy,166822,2024-11-04,SON II,Popularyzacja
