Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
63,SONP/SP/514753/2021,Instytut Dziedzictwa Myśli Narodowej im. Romana Dmowskiego i Ignacego Jana Paderewskiego,Konkurs na najlepsze prace dyplomowe o historii ruchu narodowego i katolicyzmu społecznego w Polsce,198000,2021-12-31,SON I konkurs II,Popularyzacja
64,SONP/SP/512667/2021,Instytut Fizyki Molekularnej Polskiej Akademii Nauk,"""Fizyka Warta Poznania""",22500,2021-12-31,SON I konkurs II,Popularyzacja
65,SONP/SP/513407/2021,Instytut Fizyki Molekularnej Polskiej Akademii Nauk,Fizyka w ruchu - ogólnopolski konkurs konstrukcyjny,127400,2021-12-31,SON I konkurs II,Popularyzacja
66,SONP/SP/514244/2021,Instytut Geofizyki Polskiej Akademii Nauk,GEOFIZYKA dla każdego,155580,2021-12-31,SON I konkurs II,Popularyzacja
67,SONP/SP/512841/2021,Instytut Gruźlicy i Chorób Płuc,Co tkwi w płucach? Promocja badań naukowych Instytutu Gruźlicy i Chorób Płuc,180650,2021-12-31,SON I konkurs II,Popularyzacja
68,SONP/SP/514935/2021,Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk,Historia w edukacji domowej i szkolnej.,205300,2021-12-31,SON I konkurs II,Popularyzacja
69,SONP/SP/515629/2021,Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk,Internetowa baza egipskich rytuałów świątynnych rite.iksiopan.pl - kontynuacja,40800,2021-12-31,SON I konkurs II,Popularyzacja
70,SONP/SP/514325/2021,Instytut Nauk Prawnych Polskiej Akademii Nauk,"Uzupełnienie archiwalnej bazy artykułów opublikowanych w ""Studiach Prawniczych""",100000,2021-12-31,SON I konkurs II,Popularyzacja
71,SONP/SP/514160/2021,Instytut Pracy i Spraw Socjalnych,Konkurs na najlepsze prace magisterskie i doktorskie w dziedzinie pracy i polityki społecznej,371340.8,2021-12-31,SON I konkurs II,Popularyzacja
72,SONP/SP/513129/2021,Instytut Studiów Kobiecych,Ośrodek Badań Historii Kobiet - kontynuacja,300000,2021-12-31,SON I konkurs II,Popularyzacja
73,SONP/SP/512262/2021,Katolicki Uniwersytet Lubelski Jana Pawła II,Przeprowadzenie warsztatów naukowych i promocja badań Instytutu Nauk Biologicznych KUL,215771.6,2021-12-31,SON I konkurs II,Popularyzacja
74,SONP/SP/514786/2021,Katolicki Uniwersytet Lubelski Jana Pawła II,Co wiesz o bezpieczeństwie? - realizacja edukacyjnych materiałów z zakresu bezpieczeństwa,889911,2021-12-31,SON I konkurs II,Popularyzacja
75,SONP/SP/514107/2021,Katolicki Uniwersytet Lubelski Jana Pawła II,Teologiczne repozytorium dziedzinowe „Theo-logos”,700000,2021-12-31,SON I konkurs II,Popularyzacja
76,SONP/SP/513400/2021,Krajowa Reprezentacja Doktorantów,Popularyzacja nie boli,83000,2021-12-31,SON I konkurs II,Popularyzacja
77,SONP/SP/513399/2021,Krajowa Reprezentacja Doktorantów,Szkoła Młodego Naukowca Samorządowca,131250,2021-12-31,SON I konkurs II,Popularyzacja
